Titolo,Codice,Tipo,Volume,"Autore (Cognome, Nome)","Autore (Cognome, Nome) copy","Autore (Cognome, Nome) copy copy",Anno di pubblicazione,Luogo,Editore,Tags,Fondo,Fondo (from Fondo),pdf,Immagine
La bibbia delle famiglie,01.1.AAVBIB,Libro edito,,AAVV,,,1961,Roma,Edizioni Paoline,Religione,Venturati,Venturati,,
Cinquant'anni di Concordato,01.1.AAVCIN,Libro edito,,AAVV,,,1979,Firenze ,La Nuova Italia,"Politica,Chiesa",Venturati,Venturati,,
Lenin teorico e dirigente rivoluzionario,01.1.AAVLEN,Libro edito,,AAVV,,,1970,Roma,Critica Marxista,"Politica,Comunismo,Biografico",Venturati,Venturati,,
Morte di un generale,01.1.AAVMOR,Libro edito,,AAVV,,,1982,Milano,Mondadori,"Inchiesta,Politica",Venturati,Venturati,,
Parlamento Istituzioni Democrazia. Seminario di studio,01.1.AAVPAR,Libro edito,,AAVV,,,1980,Milano,Giuffrè,"Politica,Amministrazione,Giuridico",Venturati,Venturati,,
La scelta della professione,01.1.AAVSCE,Libro edito,,AAVV,,,1978,Milano,Giuffré,Educazione,Venturati,Venturati,,
Storia del Partito Socialista Italiano,01.1.AAVSTO.1,Libro edito,1,AAVV,,,1980,Padova,Marsilio,"Storia,Socialismo",Venturati,Venturati,,
Storia del Partito Socialista Italiano,01.1.AAVSTO.2,Libro edito,2,AAVV,,,1980,Padova,Marsilio,"Storia,Socialismo",Venturati,Venturati,,
Storia del Partito Socialista Italiano,01.1.AAVSTO.3,Libro edito,3,AAVV,,,1980,Padova,Marsilio,"Storia,Socialismo",Venturati,Venturati,,
Togliatti nella storia d'Italia,01.1.AAVTOG,Libro edito,,AAVV,,,1984,Roma,Editori Riuniti,"Storia,Biografico,Comunismo",Venturati,Venturati,,
Un'esperienza riformista,01.1.AAVUNE,Libro edito,,AAVV,,,1983,Milano,CREA,"Amministrazione,Politica",Venturati,Venturati,,
La filosofia di Benedetto Croce e la crisi della società italiana,01.1.ABBFIL,Libro edito,,"Abbate, Michele",,,1955,Torino,Einaudi,Filosofia,Venturati,Venturati,,
Cittadini in uniforme,01.1.ACCCIT,Libro edito,,"Accame, Falco",,,1976,Cosenza,Lerici,"Politica,Amministrazione",Venturati,Venturati,,
Socialismo tricolore,01.1.ACCSOC,Libro edito,,"Accame, Giano",,,1983,Milano,Editoriale Nuova,"Politica,Socialismo",Venturati,Venturati,,
Rinascita. 1944-1962,01.1.ALARIN.1,Libro edito,1,"Alatri, Paolo",,,1966,Firenze,Landi,"Politica,Comunismo",Venturati,Venturati,,
Rinascita. 1944-1962,01.1.ALARIN.2,Libro edito,2,"Alatri, Paolo",,,1966,Firenze,Landi,"Politica,Comunismo",Venturati,Venturati,,
Rinascita. 1944-1962,01.1.ALARIN.3,Libro edito,3,"Alatri, Paolo",,,1966,Firenze,Landi,"Politica,Comunismo",Venturati,Venturati,,
Una crociata per la giustizia,01.1.ALBCRO,Libro edito,,"Albanese, Angelo",,,1980,Roma,La Piramide,"Politica,Giuridico",Venturati,Venturati,,
Venti lettere a un amico,01.1.ALLVEN,Libro edito,,"Alliluieva, Svetlana",,,1967,Milano,Mondadori,"Biografico,Comunismo",Venturati,Venturati,,
Fascismo. Inchiesta socialista sulle gesta dei fascisti in Italia,01.1.AMBFAS,Libro edito,,"Ambrosoli, Luigi",,,1963,Milano,Edizioni Avanti!,"Inchiesta,Fascismo",Venturati,Venturati,,
Né aderire né sabotare 1915-1918,01.1.AMBNÉA,Libro edito,,"Ambrosoli, Luigi",,,1961,Milano,Edizioni Avanti!,"Storia,Grande Guerra",Venturati,Venturati,,
Fascismo e movimento operaio,01.1.AMEFAS,Libro edito,,"Amendola, Giorgio",,,1975,Roma,Editori Riuniti,"Storia,Fascismo,Operaismo,Comunismo",Venturati,Venturati,,
Una scelta di vita,01.1.AMESCE,Libro edito,,"Amendola, Giorgio",,,1976,Milano,Rizzoli,"Biografico,Comunismo",Venturati,Venturati,,
Tra passione e ragione,01.1.AMETRA,Libro edito,,"Amendola, Giorgio",,,1982,Milano,Rizzoli,"Biografico,Comunismo",Venturati,Venturati,,
Un'isola,01.1.AMEUNI,Libro edito,,"Amendola, Giorgio",,,1980,Milano,Rizzoli,"Biografico,Comunismo",Venturati,Venturati,,
