Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
Autogestione e problemi della transizione;01.1.AAVAUT;Libro edito;;AAVV;;;1975;Venezia-Padova;Marsilio editori;Politica,Socialismo;Venturati;Venturati;;;
La bibbia delle famiglie;01.1.AAVBIB;Libro edito;;AAVV;;;1961;Roma;Edizioni Paoline;Religione;Venturati;Venturati;;;
Cinquant'anni di Concordato;01.1.AAVCIN;Libro edito;;AAVV;;;1979;Firenze ;La Nuova Italia;Politica,Chiesa;Venturati;Venturati;;;
Crisi della DC e alternativa socialista;01.1.AAVCRI;Libro edito;;AAVV;;;1975;Venezia-Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Dall'origine della terra all'homo sapiens;01.1.AAVDAL;Libro edito;;AAVV;;;1958;Milano-Roma;Edizioni Avanti!;Storia;Venturati;Venturati;;;
La Ginnastica Intellettuale. Esercizi e consigli pratici per sviluppare l’intelligenza ;01.1.AAVGIN;Libro edito;;AAVV;;;1922;Milano ;Istituito Hermes Editore;Educazione;Venturati;Venturati;;;
L’arte di parlare in Pubblico. Come si impara a improvvisare un discorso ;01.1.AAVLARI;Libro edito;;AAVV;;;1928;Milano ;Istituto Hermes Editore;Educazione;Venturati;Venturati;;;
L’arte di ragionare. Come si impara a ragionare e giudicare colla propria testa ;01.1.AAVLARR;Libro edito;;AAVV;;;1928;Milano ;Istituto Hermes Editore;Educazione,Filosofia;Venturati;Venturati;;;
Lenin teorico e dirigente rivoluzionario;01.1.AAVLEN;Libro edito;;AAVV;;;1970;Roma;Critica Marxista;Politica,Comunismo,Biografico;Venturati;Venturati;;;
Manifestazione nazionale per la riforma agraria;01.1.AAVMAN;Libro edito;;AAVV;;;1961;Roma ;Stabilimento tipografico G.A.T.E;Politica;Venturati;Venturati;;;
Morte di un generale;01.1.AAVMOR;Libro edito;;AAVV;;;1982;Milano;Mondadori;Inchiesta,Politica;Venturati;Venturati;;;
Parlamento Istituzioni Democrazia. Seminario di studio;01.1.AAVPAR;Libro edito;;AAVV;;;1980;Milano;Giuffrè;Politica,Amministrazione,Giuridico;Venturati;Venturati;;;
programmazione e mezzogiorno;01.1.AAVPRO;Libro edito;;AAVV;;;1966;Roma;Mondoperaio;Politica,Socialismo;Venturati;Venturati;;;
La scelta della professione;01.1.AAVSCE;Libro edito;;AAVV;;;1978;Milano;Giuffrè;Educazione;Venturati;Venturati;;;
Il socialismo dal basso;01.1.AAVSOB;Libro edito;;AAVV;;;1976;Venezia;Marsilio editori;Politica,Socialismo;Venturati;Venturati;;;
I socialisti e la cultura;01.1.AAVSOC;Libro edito;;AAVV;;;1976;Venezia-Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Storia del Partito Socialista Italiano;01.1.AAVSTO.1;Libro edito;1;AAVV;;;1980;Padova;Marsilio Editori;Storia,Socialismo;Venturati;Venturati;;;
Storia del Partito Socialista Italiano;01.1.AAVSTO.2;Libro edito;2;AAVV;;;1980;Padova;Marsilio Editori;Storia,Socialismo;Venturati;Venturati;;;
Storia del Partito Socialista Italiano;01.1.AAVSTO.3;Libro edito;3;AAVV;;;1980;Padova;Marsilio Editori;Storia,Socialismo;Venturati;Venturati;;;
Togliatti nella storia d'Italia;01.1.AAVTOG;Libro edito;;AAVV;;;1984;Roma;Editori Riuniti;Storia,Biografico,Comunismo;Venturati;Venturati;;;
Turati giovane;01.1.AAVTUR;Libro edito;;AAVV;;;1962;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Un'esperienza riformista;01.1.AAVUNE;Libro edito;;AAVV;;;1983;Milano;CREA;Amministrazione,Politica;Venturati;Venturati;;;
La filosofia di Benedetto Croce e la crisi della società italiana;01.1.ABBFIL;Libro edito;;Abbate, Michele;;;1955;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Cittadini in uniforme;01.1.ACCCIT;Libro edito;;Accame, Falco;;;1976;Cosenza;Lerici;Politica,Amministrazione;Venturati;Venturati;;;
Fiat confino;01.1.ACCFIA;Libro edito;;Accornero, Aris;;;1959;Milano ;Edizioni Avanti!;Storia,Economia,Politica;Venturati;Venturati;;;
Socialismo tricolore;01.1.ACCSOC;Libro edito;;Accame, Giano;;;1983;Milano;Editoriale Nuova;Politica,Socialismo;Venturati;Venturati;;;
