Titolo,Codice,Tipo,Volume,"Autore 1","Autore 2","Autore 3",Anno di pubblicazione,Luogo,Editore,Tags,Fondo,pdf
Almanacco socialista,01.1.AAVALM,Libro edito,,AAVV,,,1960,Milano,Edizioni Avanti!,"Politica,Socialismo",Venturati
Le battaglie politico-ideologiche,01.1.AAVBAT,Libro edito,,AAVV,,,1978,Milano,Il Mondo,Politica,Venturati
Le battaglie economiche,01.1.AAVBAT,Libro edito,,AAVV,,,1978,Milano,Il Mondo,"Economia,Politica",Venturati
La bibbia delle famiglie,01.1.AAVBIB,Libro edito,,AAVV,,,1961,Roma,Edizioni Paolini,Religione,Venturati
Calamandrei,01.1.AAVCAL.1,Libro edito,1,AAVV,,,1958,Firenze,La Nuova Italia,"Biografico,Politica",Venturati
Cinquant'anni di Concordato,01.1.AAVCIN,Libro edito,,AAVV,,,1979,Firenze,La Nuova Italia,"Politica,Chiesa",Venturati
Cittadini in uniforme,01.1.AAVCIT,Libro edito,,AAVV,,,1976,Cosenza,Lerici,"Politica,Amministrazione",Venturati
Dove va l'URSS?,01.1.AAVDOV,Libro edito,,AAVV,,,1965,Milano,Azione Comune,"Politica,Esteri",Venturati
Israele '67,01.1.AAVISR,Libro edito,,AAVV,,,1967,Milano,Azione Comune,"Politica,Esteri",Venturati
Jugoslavia oggi,01.1.AAVJUG,Libro edito,,AAVV,,,1965,Milano,Mondoperaio,"Politica,Esteri",Venturati
Lenin teorico e dirigente rivoluzionario,01.1.AAVLEN,Libro edito,,AAVV,,,1970,Roma,Critica Marxista,"Politica,Comunismo,Biografico",Venturati
L'Italia l'è malada,01.1.AAVLIT,Libro edito,,AAVV,,,1955,Milano-Roma,Edizioni Avanti!,"Narrativa,Politica",Venturati
Morte di un generale,01.1.AAVMOR,Libro edito,,AAVV,,,1982,Milano,Mondadori,"Inchiesta,Politica",Venturati
Parlamento Istituzioni Democrazia. Seminario di studio,01.1.AAVPAR,Libro edito,,AAVV,,,1980,Milano,Giuffrè,"Politica,Amministrazione,Giuridico",Venturati
Problemi di storia del Partito Comunista Italiano,01.1.AAVPRO,Libro edito,,AAVV,,,1971,Roma,Editori Riuniti,"Storia,Comunismo,Politica",Venturati
Quaderni rossi. La fabbrica e la società,01.1.AAVQUA.2,Libro edito,2,AAVV,,,1962,Milano,Istituto Morando,"Politica,Comunismo",Venturati
La scelta della professione,01.1.AAVSCE,Libro edito,,AAVV,,,1978,Milano,Giuffré,Educazione,Venturati
Storia del Partito Socialista Italiano,01.1.AAVSTO.1,Libro edito,1,AAVV,,,1980,Padova,Marsilio,"Storia,Socialismo",Venturati
Storia del Partito Socialista Italiano,01.1.AAVSTO.2,Libro edito,2,AAVV,,,1980,Padova,Marsilio,"Storia,Socialismo",Venturati
Storia del Partito Socialista Italiano,01.1.AAVSTO.3,Libro edito,3,AAVV,,,1980,Padova,Marsilio,"Storia,Socialismo",Venturati
